City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700821","2019","PM10","WHO_2005_HRAPIE_Scen_Base","302","27.5","28.4","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700821","2019","PM2.5","WHO_2005_HRAPIE_Scen_Base","302","20.1","20.6","2022","1347","2627","25658","17092","33339"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700821","2019","NO2","WHO_2021_AQG_Scen_Base","302","22.3","24.4","487","247","951","6183","3129","12069"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700821","2019","O3","WHO_2021_AQG_Scen_Base","302","3987.9","3985.7","82","65","99","1073","850","1298"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700821","2019","PM10","WHO_2021_AQG_Scen_Base","302","27.5","28.4","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700821","2019","PM2.5","WHO_2021_AQG_Scen_Base","302","20.1","20.6","1964","1509","2183","24923","19147","27709"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700821","2019","NO2","WHO_2021_AQG_Scen_Sensitivity_2","302","22.3","24.4","817","416","1580","10367","5273","20049"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700821","2019","O3","WHO_2021_AQG_Scen_Sensitivity_2","302","17252.0","17189.4","349","277","421","4593","3641","5541"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700821","2019","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","303","20.1","20.6","2543","1962","2821","32270","24903","35799"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700164","2020","NO2","WHO_2005_HRAPIE_Scen_Base","303","20.4","22.0","247","141","353","2809","1609","4021"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700164","2020","O3","WHO_2005_HRAPIE_Scen_Base","303","2561.6","2533.0","41","20","61","483","233","715"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700164","2020","PM10","WHO_2005_HRAPIE_Scen_Base","302","25.9","26.5","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700164","2020","PM2.5","WHO_2005_HRAPIE_Scen_Base","302","18.5","18.9","2176","1446","2832","24754","16458","32226"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700164","2020","NO2","WHO_2021_AQG_Scen_Base","302","20.4","22.0","479","243","938","5450","2756","10666"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700164","2020","O3","WHO_2021_AQG_Scen_Base","303","2561.6","2533.0","61","48","73","715","565","864"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700164","2020","PM10","WHO_2021_AQG_Scen_Base","302","25.9","26.5","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700164","2020","PM2.5","WHO_2021_AQG_Scen_Base","302","18.5","18.9","2051","1573","2282","23337","17897","25969"
